"N.Registro";"Tipo";"Categoría";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Central Reservas";"Posada Real";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"05/000302";"Casa Rural de Alquiler";"4ª - 4 Estrellas";"EL TORREON I";"Calle CLAUDIO SANCHEZ ALBORNOZ 9";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"635575769";"";"";"info@lascasasdeltorreon.com";"www.lascasasdeltorreon.com";"";"";"";"8";"-5,1196533";"40,409314";"";
"05/000303";"Casa Rural de Alquiler";"4ª - 4 Estrellas";"EL TORREON II";"Calle CLAUDIO SANCHEZ ALBORNOZ 11";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"635575769";"";"";"info@lascasasdeltorreon.com";"www.lascasasdeltorreon.com";"";"";"";"7";"-5,196533";"40,409314";"";
"05/000305";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"TÍA PAULINA";"Calle ERAS 10";"05630";"Ávila";"Bohoyo";"NAVAMEDIANA";"NAVAMEDIANA";"696635580";"920207441";"920207441";"";"";"";"";"";"8";"-5,4067986";"40,3544859";"Si";
"05/000306";"Casa Rural de Alquiler";"4ª - 4 Estrellas";"AZAGALLA RURAL EL ALISO";"Plaza SOL 16";"05639";"Ávila";"Umbrías";"CASAS DEL ABAD";"CASAS DEL ABAD";"630724876";"";"";"";"www.azagalla.com";"";"";"";"2";"-5,5888395";"40,3080471";"";
"40/000102";"Casa Rural";"1ª - 1 Estrella";"LA CASA DEL HERRADOR II";"Calle CASTRO 3";"40331";"Segovia";"Carrascal del Río";"CARRASCAL DEL RIO";"CARRASCAL DEL RIO";"921529420";"";"";"casarural@burgomillodo.com";"www.burgomillodo.com";"";"";"";"4";"-3,8980775";"41,3684565";"Si";
"37/000199";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"ALBA SORAYA";"Calle SOLANO 10";"37714";"Salamanca";"Calzada de Béjar (La)";"CALZADA DE BEJAR (LA)";"CALZADA DE BEJAR (LA)";"923416505";"646410643";"";"casaalbasoraya@wanadoo.es";"www.edicionweb.com/casaalbasoraya";"";"";"";"5";"-5,8162681";"40,4103334";"Si";
"37/000200";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"SANJUANEJO";"Plaza CONSTITUCION 7  1º";"37591";"Salamanca";"Ciudad Rodrigo";"SANJUANEJO";"SANJUANEJO";"923460398";"679373407";"";"casaruralrondadelvalle@hotmail.com";"";"";"";"";"6";"-6,4918161";"40,5706051";"";
"37/000203";"Posada";"5ª - 5 Estrellas";"CASTILLO DEL BUEN AMOR";"Carretera  NACIONAL, 630, Km.317,6";"37799";"Salamanca";"Topas";"TOPAS";"TOPAS";"923355002";"616362763";"";"castillo@buenamor.net";"www.buenamor.net";"";"";"Si";"82";"-5,6359707";"41,156355";"";
"05/000311";"Casa Rural de Alquiler";"4ª - 4 Estrellas";"LA HIJA DE LALO";"Calle LAS ERAS C 28";"05593";"Ávila";"Aldehuela (La)";"NAVAS (LAS)";"NAVAS (LAS)";"617110007";"";"";"info@casaruralgredos.com";"www.casaruralgredos.com";"";"";"";"9";"-5,4097028";"40,4106394";"Si";
"09/000175";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA DE LA JUDERÍA";"Calle Pestiño, 3";"09530";"Burgos";"Oña";"OÑA";"OÑA";"650747559";"";"";"casajuderia@gmail.com";"www.casajuderia.com";"";"";"";"10";"-3,4131081";"42,7341702";"";
"05/000312";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"CASA DE ANA";"Carretera  DE MADRID 150";"05100";"Ávila";"Navaluenga";"NAVALUENGA";"NAVALUENGA";"920298206";"607988591";"";"";"";"";"";"";"10";"-4,7106509";"40,4114212";"Si";
"24/000257";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"EL CORREDOR";"Calle FUENTE DEL FRAILE 44";"24608";"León";"Pola de Gordón (La)";"CABORNERA";"CABORNERA";"647852197";"";"";"BEGOCABOR@GMAIL.COM";"";"";"";"";"6";"-5,6815666";"42,8675649";"";
"40/000103";"Casa Rural";"1ª - 1 Estrella";"LA CASA DEL HERRADOR I";"Calle CASTRO 3";"40331";"Segovia";"Carrascal del Río";"CARRASCAL DEL RIO";"CARRASCAL DEL RIO";"921529420";"";"";"casaruralburgomillodo.com";"www.burgomillodo.com";"";"";"";"6";"-3,8980775";"41,3684565";"Si";
"47/000055";"Casa Rural de Alquiler";"4ª - 4 Estrellas";"EL SALEGAR";"Plaza MAYOR 3";"47316";"Valladolid";"Roturas";"ROTURAS";"ROTURAS";"629354948";"983268118";"";"elsalegar@elsalegar.com";"";"";"";"";"10";"-4,1475567";"41,6746919";"";
"42/000086";"Casa Rural";"4ª - 4 Estrellas";"EL CASILLO DE VINUESA";"Calle ANTONIO MACHADO 3";"42150";"Soria";"Vinuesa";"VINUESA";"VINUESA";"618022498";"";"";"elcasillodevinuesa@terra.com";"www.elcasillodevinuesa.com";"";"";"";"11";"-2,7624611";"41,9095136";"";
"09/000178";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"BOTICA GOMELIA I";"Calle Santa María 2";"09370";"Burgos";"Gumiel de Izán";"GUMIEL DE IZAN";"GUMIEL DE IZAN";"669289034";"669289034";"";"info@boticagomelia.com";"www.boticagomelia.com";"";"";"";"5";"-3,688611";"41,773333";"";
"09/000179";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"BOTICA GOMELIA II";"Calle Santa María 2";"09370";"Burgos";"Gumiel de Izán";"GUMIEL DE IZAN";"GUMIEL DE IZAN";"669289034";"669289034";"";"info@boticagomelia.com";"www.boticagomelia.com";"";"";"";"4";"-3,688611";"41,773333";"";
"47/000056";"Casa Rural";"4ª - 4 Estrellas";"LA CASA DEL VALLE";"Calle PROVINCIA 29-31";"47282";"Valladolid";"Trigueros del Valle";"TRIGUEROS DEL VALLE";"TRIGUEROS DEL VALLE";"630064424";"";"";"info@lacasadelvalle.com";"www.lacasadelvalle.com";"";"";"";"11";"-4,6497849";"41,8294852";"";
"05/000313";"Casa Rural de Alquiler";"4ª - 4 Estrellas";"AZAGALLA RURAL EL ROBLE";"Plaza SOL 15";"05693";"Ávila";"Umbrías";"CASAS DEL ABAD";"CASAS DEL ABAD";"630724876";"";"";"ovidio@azagalla.com";"www.azagalla.com";"";"";"";"2";"-5,5888395";"40,3080471";"";
"05/000314";"Casa Rural de Alquiler";"4ª - 4 Estrellas";"AZAGALLA RURAL EL ALAMO";"Calle FUENTE 16";"05693";"Ávila";"Umbrías";"CASAS DEL ABAD";"CASAS DEL ABAD";"630724876";"";"";"ovidio@azagalla.com";"www.azagalla.com";"";"";"";"2";"-5,589067";"40,3076613";"";
"37/000204";"Casa Rural de Alojamiento Compartido";"1ª - 1 Estrella";"EL RINCON DE ELVIRA";"Calle LA LAGUNA 1";"37621";"Salamanca";"Maíllo (El)";"MAILLO (EL)";"MAILLO (EL)";"923485646";"629050120";"923260314";"";"";"";"";"";"8";"-6,1775964";"40,5629646";"";
"42/000088";"Hotel Rural";"3ª - 3 Estrellas";"EL MIRADOR DE ALMANZOR";"Calle PUERTA VIEJA, 4";"42193";"Soria";"Calatañazor";"CALATAÑAZOR";"CALATAÑAZOR";"975183642";"666193222";"";"";"www.elmiradordealmanzor.com";"";"";"";"20";"-2,8187122";"41,698239";"";
"34/000150";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LA PUENTE ""EL MAYORAZGO""";"Calle SAN ANTONIO S/N";"34813";"Palencia";"Aguilar de Campoo";"PUENTETOMA";"PUENTETOMA";"610875551";"";"";"contacto@casasruraleslapuente.es";"www.casasruraleslapuente.es";"";"";"";"8";"-4,1705815";"42,7457581";"Si";
"34/000151";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LA PUENTE ""LA TORRE""";"Calle SAN ANTONIO s/n";"34813";"Palencia";"Aguilar de Campoo";"PUENTETOMA";"PUENTETOMA";"610875551";"";"";"contacto@casasruraleslapuente.es";"www.casasruraleslapuente.es";"";"";"";"4";"-4,1705815";"42,7457581";"Si";
"49/000073";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"EL CAPRICHO";"Calle Rosario 16";"49562";"Zamora";"Villardeciervos";"VILLARDECIERVOS";"VILLARDECIERVOS";"630023378";"";"";"";"";"";"";"";"5";"-6,2852325";"41,9435812";"Si";
"09/000181";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"MIRADOR DE SILOS";"Calle Romeros de Cañas 33";"09610";"Burgos";"Santo Domingo de Silos";"SANTO DOMINGO DE SILOS";"SANTO DOMINGO DE SILOS";"947212857";"";"";"miradordesilos@yahoo.es";"www.miradordesilos.com";"";"";"";"10";"-3,4186601";"41,9628748";"";
"42/000090";"Casa Rural";"3ª - 3 Estrellas";"EL RINCÓN DEL TEJO";"Travesía DE LA POZA S/N";"42145";"Soria";"Cidones";"HERREROS";"HERREROS";"649548873";"";"";"rincondeltejo@hotmail.com";"www.elrincondeltejo.com";"";"";"";"12";"-2,7153592";"41,8168922";"";
"05/000317";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"LOS SERRANILLOS-LAS BELLOTAS";"Calle SERRANILLOS S/N";"05515";"Ávila";"Piedrahíta";"PESQUERA";"PESQUERA";"686492830";"686482830";"";"losserranillos@hotmail.com";"www.losserranillos.com";"";"";"";"2";"-5,3188008";"40,4513007";"";
"05/000318";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"LOS SERRANILLOS-LOS PILARES";"Calle SERRANILLOS 9";"05515";"Ávila";"Piedrahíta";"PESQUERA";"PESQUERA";"686492830";"686492830";"";"losserranillos@hotmail.com";"www.losserranillos.com";"";"";"";"2";"-5,3188008";"40,4513007";"";
"42/000091";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"XALON I";"Calle HORNO 5";"42257";"Soria";"Arcos de Jalón";"SOMAEN";"SOMAEN";"975320477";"";"";"info@casaxalon.es";"www.casaxalon.es";"";"";"";"7";"-2,314907";"41,193655";"";
"34/000152";"Hotel Rural";"3ª - 3 Estrellas";"EL MOLINO DE SALINAS";"Camino  DEL MOLINO s/n";"34830";"Palencia";"Salinas de Pisuerga";"SALINAS DE PISUERGA";"SALINAS DE PISUERGA";"979125000";"606850901";"979122000";"reservas@alojamientosconhistoria.com";"www.alojamientosconhistoria.com";"";"";"";"30";"-4,376229";"42,847546";"Si";
"05/000319";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LOS SERRANILLOS-EL ARROYO";"Calle SERRANILLOS 7";"05515";"Ávila";"Piedrahíta";"PESQUERA";"PESQUERA";"686492830";"686482830";"";"losserranillos@hotmail.com";"www.losserranillos.com";"";"";"";"10";"-5,3188008";"40,4513007";"";
"05/000320";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LOS SERRANILLOS-LA CIGÜEÑA";"Calle SERRANILLOS 9";"05515";"Ávila";"Piedrahíta";"PESQUERA";"PESQUERA";"686492830";"686482830";"";"losserranillos@hotmail.com";"www.losserranillos.com";"";"";"";"10";"-5,3188008";"40,4513007";"";
"24/000260";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"EL NIDO DEL AGUILA";"Calle VALLORZA, 1";"24913";"León";"Boca de Huérgano";"PORTILLA DE LA REINA";"PORTILLA DE LA REINA";"687601437";"987740415";"";"ELINVERNAL@GMAIL.COM";"";"";"";"";"4";"-4,888777";"43,000873";"Si";
"24/000261";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"EL INVERNAL DE PICOS";"Calle VALLORZA 1";"24913";"León";"Boca de Huérgano";"PORTILLA DE LA REINA";"PORTILLA DE LA REINA";"687601437";"987740415";"";"elinvernal@gmail.com";"www.elinvernal.com";"";"";"";"4";"-4,888777";"43,000873";"Si";
"47/000059";"Casa Rural";"3ª - 3 Estrellas";"LA MORENA";"Calle MAYOR 40";"47182";"Valladolid";"Castroverde de Cerrato";"CASTROVERDE DE CERRATO";"CASTROVERDE DE CERRATO";"676979943";"676999595";"";"lamorenarural@yahoo.es";"www.crlamorena.es";"";"";"";"5";"-4,2214078";"41,7561641";"Si";
"09/000180";"Posada";"4ª - 4 Estrellas";"POSADA DEL PINTOR";"Calle Mayor 8";"09131";"Burgos";"Quintanillas (Las)";"QUINTANILLAS (LAS)";"QUINTANILLAS (LAS)";"947450567";"610475767";"";"laposadadelpintorburgos@gmail.com";"www.posadadelpintor.com";"";"";"";"18";"-3,842142";"42,372065";"Si";
"09/000183";"Casa Rural";"3ª - 3 Estrellas";"LA CASA DEL MEDICO";"Calle CAMERANA 1";"09660";"Burgos";"Hontoria del Pinar";"HONTORIA DEL PINAR";"HONTORIA DEL PINAR";"625075246";"";"";"info@casaruraldelmedico.com";"www.casaruraldelmedico.com";"";"";"";"10";"-3,159525";"41,848509";"Si";
"24/000262";"Hotel Rural";"3ª - 3 Estrellas";"EL TIEMPO RECOBRADO";"Avenida VILLANUEVA 33";"24550";"León";"Carracedelo";"VILLAMARTIN DE LA ABADIA";"VILLAMARTIN DE LA ABADIA";"987562422";"";"";"eltiempo@eltiemporecobrado.com";"www.eltiemporecobrado.com";"";"";"";"21";"-6,7473675";"42,56448";"Si";
"40/000106";"Casa Rural";"4ª - 4 Estrellas";"EL PORTÓN";"Calle  EGIDO 23";"40163";"Segovia";"Matabuena";"CAÑICOSA";"CAÑICOSA";"921504245";"676467319";"";"leticia@portonsegoviano.com";"www.portonsegoviano.com";"";"";"";"8";"-3,7683333";"41,1047222";"Si";
"09/000182";"Casa Rural";"4ª - 4 Estrellas";"CASA ABANADES";"Calle Sabiniano Sierra 5";"09100";"Burgos";"Melgar de Fernamental";"MELGAR DE FERNAMENTAL";"MELGAR DE FERNAMENTAL";"657837236";"";"";"info@abanades.com";"www.abanades.com";"";"";"";"10";"-4,2435362";"42,4046816";"Si";
"34/000153";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"VALLE DE TOSANDE I";"Calle LA FUENTE S/N";"34887";"Palencia";"Castrejón de la Peña";"CANTORAL DE LA PEÑA";"CANTORAL DE LA PEÑA";"607797338";"";"";"valletosande@hotmail.com";"www.valletosande.com";"";"";"";"8";"-4,5999746";"42,8084496";"Si";
"34/000154";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"VALLE DE TOSANDE II";"Calle LA FUENTE s/n";"34887";"Palencia";"Castrejón de la Peña";"CANTORAL DE LA PEÑA";"CANTORAL DE LA PEÑA";"607797338";"";"";"valletosande@hotmail.com";"www.valletosade.com";"";"";"";"4";"-4,5999746";"42,8084496";"Si";
"34/000155";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"VALLE DE TOSANDE III";"Calle LA  FUENTE s/n";"34887";"Palencia";"Castrejón de la Peña";"CANTORAL DE LA PEÑA";"CANTORAL DE LA PEÑA";"607797338";"";"";"valletosande@hotmail.com";"www.valletosande";"";"";"";"4";"-4,5999746";"42,8084496";"Si";
"47/000060";"Casa Rural";"4ª - 4 Estrellas";"LA HUERTA";"Calle ANCHA 33";"47812";"Valladolid";"Palazuelo de Vedija";"PALAZUELO DE VEDIJA";"PALAZUELO DE VEDIJA";"615149703";"";"";"victorialdom@hotmail.com";"www.casaruralahuerta.es";"";"";"";"9";"-5,1442504";"41,9314688";"";
"42/000092";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"EL ARREÑAL DEL CAÑON DEL RIO LOBOS";"Calle LA FUENTE S/N";"42141";"Soria";"Santa María de las Hoyas";"SANTA MARIA DE LAS HOYAS";"SANTA MARIA DE LAS HOYAS";"975372350";"975360529";"";"";"";"";"";"";"8";"-3,1450431";"41,7693643";"";
"05/000323";"Hotel Rural";"4ª - 4 Estrellas";"EL REMANSO DE GREDOS";"Calle HONDONERA 48";"05697";"Ávila";"Navalonguilla";"NAVALONGUILLA";"NAVALONGUILLA";"920343898";"";"";"info@elremansodegredos.com";"www.elremansodegredos.com";"";"";"";"20";"-5,4998363";"40,2771693";"";
"40/000107";"Casa Rural";"3ª - 3 Estrellas";"LA MAJADA DE SIGUERUELO";"Plaza AYUNTAMIENTO 6";"40590";"Segovia";"Santo Tomé del Puerto";"SIGUERUELO";"SIGUERUELO";"645021251";"";"";"vimuga6@hotmail.com";"WWW.MAJADADESIGUERUELO.COM";"";"";"";"7";"-3,636333";"41,174235";"";
"37/000210";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"EL MIRADOR DEL TIRIÑUELO";"Calle LAS MONJAS 1";"37671";"Salamanca";"San Esteban de la Sierra";"SAN ESTEBAN DE LA SIERRA";"SAN ESTEBAN DE LA SIERRA";"923213234";"609956263";"";"reservas@casaruraltirinuelo.com";"www.casaruraltirinuelo.com";"";"";"";"6";"-5,9050374";"40,5058234";"";
"37/000211";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LA PARRA";"Carretera CARRETERA 5";"37671";"Salamanca";"San Esteban de la Sierra";"SAN ESTEBAN DE LA SIERRA";"SAN ESTEBAN DE LA SIERRA";"923435158";"";"";"";"";"";"";"";"4";"-5,9058067";"40,5034347";"";
"40/000108";"Casa Rural";"3ª - 3 Estrellas";"LA BODEGUILLA";"Calle IGLESIA 7";"40494";"Segovia";"Armuña";"ARMUÑA";"ARMUÑA";"667263812";"921444873";"";"rafaelmansoherranz@yahoo.es";"";"";"";"";"4";"-4,3191435";"41,0775215";"Si";
"37/000214";"Casa Rural de Alquiler";"4ª - 4 Estrellas";"GALICAN";"Camino CAMINO DE LOS VILLARES, 66";"37430";"Salamanca";"Moriscos";"MORISCOS";"MORISCOS";"923361483";"629888833";"";"";"";"";"";"";"12";"-5,58616";"41,0073376";"";
"37/000213";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"CASA OLIVA";"Calle OLIVA 18";"37670";"Salamanca";"Santibáñez de la Sierra";"SANTIBAÑEZ DE LA SIERRA";"SANTIBAÑEZ DE LA SIERRA";"923435299";"";"";"";"";"";"";"";"6";"-5,9148161";"40,4947461";"";
"05/000325";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LAS COGOTAS";"Travesía VILLALBA 8  1";"05320";"Ávila";"Cardeñosa";"CARDEÑOSA";"CARDEÑOSA";"920260001";"658890155";"";"cardenosa@diputacionavila.es";"";"";"";"";"2";"-4,7453597";"40,7411293";"";
"05/000327";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LA COVACHA";"Travesía DEL CAÑO 1";"05693";"Ávila";"Umbrías";"CASAS DEL ABAD";"CASAS DEL ABAD";"626428714";"";"";"fjavierph@yahoo.com";"";"";"";"";"2";"-5,5892787";"40,3084337";"";
"05/000328";"Casa Rural de Alquiler";"4ª - 4 Estrellas";"EL MIRADOR DEL ALBERCHE I";"Calle CAMINO DE PIEDRALAVES, 12-BAJO";"05100";"Ávila";"Navaluenga";"NAVALUENGA";"NAVALUENGA";"615110449";"920298120";"";"ncarrascol@hotmail.es";"www.elmiradordelalberche.com";"";"";"";"4";"-4,7071179";"40,4061313";"";
"05/000329";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"EL BALCONCILLO DEL ALBERCHE";"Camino DE PIEDRALAVES 12  1";"05100";"Ávila";"Navaluenga";"NAVALUENGA";"NAVALUENGA";"665979066";"";"";"elbalconcillodelalberche@gmail.com";"www.albercherural.com";"";"";"";"4";"-4,7071179";"40,4061313";"Si";
"37/000215";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"SAN BLAS";"Calle JOSE ANTONIO, 11";"37591";"Salamanca";"Ciudad Rodrigo";"SANJUANEJO";"SANJUANEJO";"923462271";"625754993";"";"casaruralsanblas@ono.com";"";"";"";"";"5";"-6,4910012";"40,5703424";"";
"34/000157";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"SAN VITORES";"Calle  ANCHA 3";"34450";"Palencia";"Astudillo";"ASTUDILLO";"ASTUDILLO";"979822090";"665312977";"";"casaruralsanvito@yahoo.es";"www.apatur.org";"";"";"";"5";"-4,296059";"42,193963";"";
"05/000333";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LA SAETERA";"Calle PESQUERA 1";"05194";"Ávila";"Berrocalejo de Aragona";"BERROCALEJO DE ARAGONA";"BERROCALEJO DE ARAGONA";"675126302";"";"";"martaalvarezcedron@gmail.com";"www.casarurallasaetera.com";"";"";"";"10";"-4,5936041";"40,6949849";"";
"37/000216";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LA VIÑA";"Carretera CV-36 (Ciudad Rodrigo- Sanjanejo) Km 1,5";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"923480289";"629360692";"";"reservas@ruralnoria.com";"www.casaruralciudadrodrigo.com www.granjaescuelalanoria.com www.ruralnoria.com";"";"";"";"8";"-6,536596";"40,592633";"";
"05/000334";"Casa Rural de Alquiler";"1ª - 1 Estrella";"LOS MORAÑEGOS";"Calle ESCUELAS 31";"05414";"Ávila";"Cuevas del Valle";"CUEVAS DEL VALLE";"CUEVAS DEL VALLE";"651552273";"";"";"";"";"";"";"";"10";"-5,009024";"40,2942974";"";
"42/000097";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"ISABEL Y FERNANDO";"Calle LA ERILLA 12   B";"42328";"Soria";"Castillejo de Robledo";"CASTILLEJO DE ROBLEDO";"CASTILLEJO DE ROBLEDO";"975355074";"610672190";"";"fer610672190nando@gmail.com";"";"";"";"";"6";"-3,4963889";"41,55";"";
"34/000158";"Casa Rural de Alquiler";"1ª - 1 Estrella";"PLAZA VIEJA";"Plaza Plaza Vieja, 21";"34100";"Palencia";"Saldaña";"SALDAÑA";"SALDAÑA";"979890736";"606428278";"";"";"";"";"";"";"8";"-4,7384902";"42,5241545";"";
"05/000337";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"LOS CUATRO BALCONES";"Plaza DE ESPAÑA 6";"05123";"Ávila";"Hoyocasero";"HOYOCASERO";"HOYOCASERO";"920206204";"685886664";"";"casasgredos@diputacionavila.es";"www.casasdegredos.com";"";"";"";"5";"-4,9748707";"40,3990752";"";
"05/000338";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"LOS CINCO BALCONES";"Plaza DE ESPAÑA 6";"05123";"Ávila";"Hoyocasero";"HOYOCASERO";"HOYOCASERO";"920/206204";"685886664";"";"casasdegredos@diputacionavila.es";"www.casasdegredos.com";"";"";"";"5";"-4,9748707";"40,3990752";"";
"42/000098";"Posada";"5ª - 5 Estrellas";"POSADA DEL INDIANO";"Calle BLAS ORDEN, 13";"42145";"Soria";"Cidones";"CIDONES";"CIDONES";"691801010";"";"";"posadadelindiano@hotmail.com";"www.posadadelindiano.com";"";"";"Si";"30";"-2,6414351";"41,8140556";"Si";
"24/000266";"Casa Rural de Alojamiento Compartido";"1ª - 1 Estrella";"CAMINO MÉDULAS";"Avenida PORTUGAL - LA MARTINA 359";"24403";"León";"Ponferrada";"PONFERRADA";"MARTINA (LA)";"987426900";"987416024";"";"CASARURAL@CAMINOMEDULAS.COM";"";"";"";"";"9";"-6,6007499";"42,5484905";"";
"40/000109";"Casa Rural";"4ª - 4 Estrellas";"EL FRESNO DEL ABUELO";"Calle LA PAJA 1";"40181";"Segovia";"Turégano";"CUESTA (LA)";"CUESTA (LA)";"921404351";"696102385";"";"elfresno1@hotmail.com";"www.toprural/elfresno";"";"";"";"10";"-3,9968603";"41,1150169";"";
"05/000340";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"LA PASAILLA";"Calle Isaac Peral 11";"05633";"Ávila";"San Juan de Gredos";"NAVACEPEDA DE TORMES";"NAVACEPEDA DE TORMES";"618018311";"917 982 110";"";"correo@lapasailla.com";"www.lapasailla.com";"";"";"";"6";"-5,2662123";"40,3765164";"";
"42/000099";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"MARQUES DE CERRALBO";"Calle MARQUES DE CERRALBO 33";"42260";"Soria";"Santa María de Huerta";"SANTA MARIA DE HUERTA";"SANTA MARIA DE HUERTA";"975327222";"680358388";"";"";"www.marquesdecerralbo@hotmail.com";"";"";"";"5";"-2,175628";"41,2624099";"";
"40/000111";"Casa Rural";"3ª - 3 Estrellas";"LA SOLANA DE BRIEVA";"Calle REAL ARRIBA 36";"40180";"Segovia";"Brieva";"BRIEVA";"BRIEVA";"626361245";"921460884";"";"lasolanadebrieva@gmail.com";"www.lasolanadebrieva.com";"";"";"";"5";"-4,0561645";"41,0336102";"Si";
"24/000267";"Casa Rural de Alquiler";"1ª - 1 Estrella";"LA PEÑONA";"Calle REAL S/N";"24132";"León";"Riello";"PANDORADO";"PANDORADO";"987580722";"";"";"";"www.resthypandoado.es";"";"";"";"4";"";"";"Si";
"24/000268";"Casa Rural de Alquiler";"1ª - 1 Estrella";"EL ROZO";"Calle real s/n";"24132";"León";"Riello";"PANDORADO";"PANDORADO";"987580722";"";"";"mesonresthy@yahoo.es";"www.resthypandorado.es";"";"";"";"4";"";"";"Si";
"24/000269";"Casa Rural";"3ª - 3 Estrellas";"LA HUERTA I";"Calle SOLASIERRA, 12";"24900";"León";"Riaño";"RIAÑO";"RIAÑO";"987740663";"615624549";"";"lahuertaIyII@gmail.com";"";"";"";"";"4";"-5,006735";"42,9762699";"Si";
"24/000270";"Casa Rural";"3ª - 3 Estrellas";"LA HUERTA II";"Calle SOLASIERRA, 12";"24900";"León";"Riaño";"RIAÑO";"RIAÑO";"987740663";"987740675";"";"LAHUERTAiYii@GMAIL.COM";"WWW.HOSTALSAINZ.COM";"";"";"";"4";"-5,006735";"42,9762699";"Si";
"05/000341";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"LOS GUIJOS I";"Calle C/ LA LADERA 4  B";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920349123";"";"";"casalosguijos@gmail.com";"";"";"";"";"6";"-5,1753666";"40,3544073";"";
"05/000342";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"LOS GUIJOS II";"Calle C/ LA LADERA 4  1º";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920349123";"635835725";"";"casaslosguijos@gmail.com";"";"";"";"";"6";"-5,1753666";"40,3544073";"";
"37/000217";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LA CASA VIEJA DE TERESA I";"Calle SANTIAGO GARCIA RIVERO, 21";"37720";"Salamanca";"Puerto de Béjar";"PUERTO DE BEJAR";"PUERTO DE BEJAR";"600477669";"923264745";"";"lacasaviejadeteresa@gmail.com";"www.lacasaviejadeteresa.com";"";"";"";"6";"-5,8415336";"40,3501202";"";
"37/000218";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LA CASA VIEJA DE TERESA II";"Calle SANTIAGO GARCIA RIVERO, 21";"37720";"Salamanca";"Puerto de Béjar";"PUERTO DE BEJAR";"PUERTO DE BEJAR";"600477669";"923264745";"";"lacasaviejadeteresa@gmail.com";"www.lacasaviejadeteresa.com";"";"";"";"4";"-5,8415336";"40,3501202";"";
"37/000219";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA FINA";"Calle ESTACION 12";"37497";"Salamanca";"Espeja";"ESPEJA";"ESPEJA";"943373355";"629414510";"";"casafinasalamanca@gmail.com";"";"";"";"";"16";"-6,7169618";"40,5651178";"";
"37/000220";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA DEL PUENTE";"Calle EL PUENTE 7";"37716";"Salamanca";"Navacarros";"NAVACARROS";"NAVACARROS";"699922412";"923402998";"";"majosevegas@hotmail.com";"www.casaruralelpuente.com";"";"";"";"5";"-5,7148288";"40,3974753";"Si";
